model,standard,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
Llama 3.3 70b,MS-ESS2-4,54,0.9444,0.8489,0.9809,0.9545,0.0,0.0
Llama 3.3 70b,MS-ESS2-5,45,0.9111,0.7927,0.9649,0.9722,0.0,0.0314
Llama 3.3 70b,MS-ESS2-6,36,0.8056,0.6497,0.9025,0.8889,0.0,0.0393
Llama 3.3 70b,MS-ESS3-1,75,0.96,0.8889,0.9863,0.9762,0.0,0.0327
Llama 3.3 70b,MS-ESS3-2,69,0.8986,0.8051,0.95,0.9118,0.0,0.0542
Llama 3.3 70b,MS-ESS3-3,45,0.9778,0.8843,0.9961,0.9861,0.0,0.0314
Llama 3.3 70b,MS-ESS3-4,45,0.9333,0.8214,0.9771,0.9394,0.0,0.0544
Llama 3.3 70b,MS-ESS3-5,39,1.0,0.9103,1.0,0.9848,0.0,0.0
Llama 3.3 70b,MS-ETS1-1,84,0.9762,0.9173,0.9934,0.9933,0.0,0.0168
Llama 3.3 70b,MS-ETS1-2,54,1.0,0.9336,1.0,1.0,0.0,0.0
Llama 3.3 70b,MS-ETS1-3,57,0.9649,0.8808,0.9903,0.9722,0.0,0.0496
Llama 3.3 70b,MS-ETS1-4,69,0.9565,0.8798,0.9851,0.9706,0.0,0.0355
Llama 3.3 70b,MS-LS1-1,39,0.9744,0.8682,0.9955,0.9545,0.0,0.0363
Llama 3.3 70b,MS-LS1-2,27,0.9259,0.7663,0.9794,1.0,0.0,0.0524
Llama 3.3 70b,MS-LS1-3,54,0.963,0.8746,0.9898,1.0,0.0,0.0262
Llama 3.3 70b,MS-LS1-4,36,0.9444,0.8186,0.9846,0.9667,0.0,0.0393
Llama 3.3 70b,MS-LS1-5,30,0.9667,0.8333,0.9941,1.0,0.0,0.0471
Llama 3.3 70b,MS-LS1-6,24,1.0,0.862,1.0,0.9444,0.0,0.0
Llama 3.3 70b,MS-LS1-7,30,0.7333,0.5555,0.8582,0.875,0.0,0.0471
Llama 3.3 70b,MS-LS1-8,27,0.963,0.8172,0.9934,1.0,0.0,0.0524
Llama 3.3 70b,MS-LS2-1,72,0.9028,0.8126,0.9521,0.9667,0.0,0.0196
Llama 3.3 70b,MS-LS2-2,51,1.0,0.93,1.0,0.9881,0.0,0.0
Llama 3.3 70b,MS-LS2-3,99,0.9394,0.874,0.9719,0.9487,0.0,0.0247
Llama 3.3 70b,MS-LS2-4,42,1.0,0.9162,1.0,1.0,0.0,0.0
Llama 3.3 70b,MS-LS2-5,24,1.0,0.862,1.0,1.0,0.0,0.0
Llama 3.3 70b,MS-LS3-1,144,0.9861,0.9508,0.9962,0.9778,0.0,0.0196
