model,area,question_type,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
Mistral Small 3.1,MS-ESS1,applied,96,0.8125,0.723,0.878,0.8906,0.0,0.0255
Mistral Small 3.1,MS-ESS1,conceptual,99,0.8485,0.765,0.906,0.9141,0.0,0.0247
Mistral Small 3.1,MS-ESS1,recall,93,0.914,0.8393,0.9558,,0.0,0.0304
Mistral Small 3.1,MS-ESS2,applied,96,0.8958,0.8188,0.9424,0.9375,0.0,0.0642
Mistral Small 3.1,MS-ESS2,conceptual,93,0.914,0.8393,0.9558,0.9355,0.0,0.0663
Mistral Small 3.1,MS-ESS2,recall,93,0.828,0.7387,0.8912,,0.0,0.0402
Mistral Small 3.1,MS-ESS3,applied,96,0.9375,0.8703,0.971,0.9479,0.0,0.0442
Mistral Small 3.1,MS-ESS3,conceptual,99,0.9293,0.8612,0.9653,0.9545,0.0,0.0378
Mistral Small 3.1,MS-ESS3,recall,78,0.9615,0.8929,0.9868,,0.0,0.0
Mistral Small 3.1,MS-ETS1,applied,93,0.9462,0.8803,0.9768,0.9731,0.0,0.0152
Mistral Small 3.1,MS-ETS1,conceptual,96,0.9896,0.9433,0.9982,0.9896,0.0,0.0147
Mistral Small 3.1,MS-ETS1,recall,75,0.9867,0.9283,0.9976,,0.0,0.0189
Mistral Small 3.1,MS-LS1,applied,87,0.8851,0.8012,0.9364,0.9368,0.0,0.0163
Mistral Small 3.1,MS-LS1,conceptual,93,0.871,0.7879,0.9246,0.914,0.0,0.0263
Mistral Small 3.1,MS-LS1,recall,87,0.8391,0.7478,0.9017,,0.0,0.0163
Mistral Small 3.1,MS-LS2,applied,99,1.0,0.9626,1.0,1.0,0.0,0.0
Mistral Small 3.1,MS-LS2,conceptual,96,0.8958,0.8188,0.9424,0.9479,0.0,0.0531
Mistral Small 3.1,MS-LS2,recall,93,0.9247,0.8527,0.9631,,0.0,0.0402
Mistral Small 3.1,MS-LS3,applied,90,0.9222,0.8481,0.9618,0.9556,0.0,0.0567
Mistral Small 3.1,MS-LS3,conceptual,87,0.931,0.8576,0.968,0.9655,0.0,0.0282
Mistral Small 3.1,MS-LS3,recall,78,0.9103,0.8262,0.9558,,0.0,0.048
Mistral Small 3.1,MS-LS4,applied,87,0.8966,0.815,0.9446,0.9425,0.0,0.0745
Mistral Small 3.1,MS-LS4,conceptual,99,0.8889,0.8119,0.9368,0.9394,0.0,0.0623
Mistral Small 3.1,MS-LS4,recall,81,0.9136,0.8322,0.9575,,0.0,0.0175
Mistral Small 3.1,MS-PS1,applied,93,0.9355,0.8663,0.9701,0.9624,0.0,0.0263
Mistral Small 3.1,MS-PS1,conceptual,99,0.8182,0.7308,0.8818,0.8889,0.0,0.0247
Mistral Small 3.1,MS-PS1,recall,69,0.7971,0.6878,0.8751,,0.0,0.0542
Mistral Small 3.1,MS-PS2,applied,93,0.871,0.7879,0.9246,0.9032,0.0,0.0263
Mistral Small 3.1,MS-PS2,conceptual,93,0.8602,0.7754,0.9165,0.914,0.0,0.0304
Mistral Small 3.1,MS-PS2,recall,87,0.8966,0.815,0.9446,,0.0,0.0282
Mistral Small 3.1,MS-PS3,applied,96,0.9062,0.8313,0.9499,0.9323,0.0,0.0255
Mistral Small 3.1,MS-PS3,conceptual,90,0.8667,0.7813,0.9221,0.9222,0.0,0.0471
Mistral Small 3.1,MS-PS3,recall,66,0.8788,0.7786,0.9373,,0.0,0.0934
Mistral Small 3.1,MS-PS4,applied,93,0.914,0.8393,0.9558,0.9462,0.0,0.0304
Mistral Small 3.1,MS-PS4,conceptual,84,0.7976,0.6996,0.8696,0.8869,0.0,0.0337
Mistral Small 3.1,MS-PS4,recall,87,0.9655,0.9035,0.9882,,0.0,0.0282
Nemotron 3 Nano 30ba3,MS-ESS1,applied,96,0.9271,0.8571,0.9642,0.9583,0.0,0.039
Nemotron 3 Nano 30ba3,MS-ESS1,conceptual,99,0.9293,0.8612,0.9653,0.9596,0.0,0.0143
Nemotron 3 Nano 30ba3,MS-ESS1,recall,93,0.9892,0.9416,0.9981,,0.0,0.0152
Nemotron 3 Nano 30ba3,MS-ESS2,applied,96,0.9479,0.8838,0.9776,0.974,0.0,0.0147
Nemotron 3 Nano 30ba3,MS-ESS2,conceptual,93,0.9677,0.9094,0.989,0.9839,0.0,0.0
